id,RA,Dec,observatory_code,magnitude,band,mjd,mag_err,RA_err,Dec_err
533211,189.72182,6.17664, F51,22.904, G,56811.395,0.15,0.2,0.2
533397,213.35667,-8.51628, F51,22.703, G,56811.395,0.15,0.2,0.2
533563,236.33968,-17.73969, F51,22.236, G,56811.395,0.15,0.2,0.2
533562,229.8793,-11.05503, F51,22.379, G,56811.395,0.15,0.2,0.2
533561,249.96429,-4.86481, F51,22.475, G,56811.395,0.15,0.2,0.2
533560,242.57111,-2.62368, F51,22.642, G,56811.395,0.15,0.2,0.2
533508,213.84597,-5.97156, F51,22.668, G,56811.395,0.15,0.2,0.2
533398,242.8296,-5.89557, F51,22.354, G,56811.395,0.15,0.2,0.2
533507,229.82275,-1.21326, F51,22.368, G,56811.395,0.15,0.2,0.2
533506,197.64551,1.68541, F51,22.783, G,56811.395,0.15,0.2,0.2